시군구,만명당 5대범죄,만명당 살인,살인 건수,만명당 강도 ,만명당 절도,만명당 폭력,만명당 성폭력,경찰 출동 시간(분),치안만족도,1만명당 CCTV,1인당 담당인구
도봉구,71.71,0.09,3,0.17,24.84,41.35,5.23,3.46,76.8,13.93,640.11
노원구,82.06,0.09,5,0.11,32.82,44.35,3.7,3.26,79.4,23.59,723.03
동작구,82.99,0.2,8,0.15,30.65,41.45,10.55,3.59,77.1,28.75,616.92
성북구,84.58,0.09,4,0.18,32.73,46.85,4.73,4.7,78.65,37.9,477.58
양천구,87.31,0.1,5,0.15,34.07,47.16,3.83,4.54,73.6,42.18,637.84
강서구,92.71,0.15,9,0.17,32.81,53.77,5.81,5.21,74.6,14.61,289.22
은평구,93.23,0.12,6,0.18,33.94,54.2,4.78,4.25,75.8,36.18,555.34
송파구,93.75,0.14,9,0.23,38.67,50.01,4.7,4,70.5,12.13,657.83
강동구,101.27,0.09,4,0.32,39.53,56.96,4.37,3.57,77,19.43,615.19
성동구,104.52,0.13,4,0.1,43.51,54.17,6.62,4.13,76.3,41.84,469.06
관악구,113.66,0.12,6,0.24,41.57,63.85,7.89,3.21,73.2,35.59,607.74
서초구,115.54,0.11,5,0.29,49.4,52.33,13.42,4.27,75.35,42.44,432.49
서대문구,118.3,0.19,6,0.16,47.87,62.92,7.16,4.21,76.1,31.95,480.42
중랑구,123.48,0.19,8,0.34,41.19,77.01,4.74,4.8,77.7,21.58,558.43
강북구,130.38,0.21,7,0.15,37.38,84.9,0.73,3.48,77.8,25.67,504.93
구로구,131.89,0.22,9,0.24,45.96,75.85,9.63,5.7,73.4,38.82,579.13
동대문구,136.28,0.14,5,0.28,54.69,74.41,6.76,3.49,76.9,26.84,450.02
강남구,148.54,0.09,5,0.69,63.29,70.57,13.91,4.44,72.35,49.02,405.95
광진구,152.49,0.11,4,0.31,73.85,67.02,11.2,4.39,71.4,17.24,529.99
금천구,157.44,0.25,6,0.3,53.83,93.17,9.9,4.36,77.1,48.39,415.14
마포구,161.99,0.11,4,0.11,66.49,77.36,17.93,5.31,74.4,24.43,460.48
영등포구,173.93,0.35,13,0.51,63.3,96.95,12.82,4.55,74.5,29.49,392.6
용산구,182.33,0.17,4,0.39,64.8,103.5,13.46,4.28,76.2,80.13,336.12
종로구,296.59,0.39,6,0.79,127.28,148.29,19.84,3.36,77.9,62.92,136.37
중구,377.73,0.24,3,0.64,171.82,177.65,27.39,3.48,77.74,53.33,125.37
